UniqueCount	AmbigCount
0	28
0	2
0	2
0	2
0	1
0	24
8	26
9	26
0	26
0	26
0	26
0	26
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	8
0	8
0	0
731	25
0	25
1	25
0	0
0	0
79	0
141	0
0	0
2	0
0	0
1	0
4	0
69	0
30	0
0	0
0	0
39	0
34	0
87	0
0	0
9	0
0	0
1	0
0	0
0	86
4	74
0	103
629	0
40	0
3	0
1	7
0	7
1	7
0	7
0	6
0	6
0	48
0	48
0	46
0	46
0	46
1	38
0	38
0	38
0	0
0	0
3	0
0	3
0	3
32	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	65
1	65
13	65
41	65
2	65
179	0
23	0
0	0
3	503
0	503
0	0
0	0
0	0
3	0
1	0
2	0
1	0
0	1
0	1
0	1
9	0
0	0
0	0
0	2
0	15
0	2
0	15
2	0
0	8
0	8
61	0
0	50
0	50
3	0
19	0
0	0
1	0
0	0
0	0
0	0
0	3
0	3
0	3
0	2
0	3
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	3
0	3
0	3
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
2	41
0	41
21	0
280	0
84	0
0	2
0	2
0	0
0	0
0	0
1	0
0	0
7	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	4
0	4
14	7
0	7
0	7
0	0
0	0
0	0
41	0
0	4
0	4
0	4
0	0
0	0
0	0
0	3
0	3
0	3
0	19
0	19
0	19
0	19
9	0
0	4
0	4
1	3
0	4
0	3
0	3
20	0
0	3
0	3
0	0
0	0
4	0
0	0
0	9
0	9
0	9
22	0
2	0
0	15
0	15
0	0
2	0
0	0
0	0
0	2
0	2
4	0
3	0
1	0
0	6
0	6
0	0
0	0
0	0
21	0
7	21
0	21
7	0
217	0
0	0
10	0
0	0
0	0
0	0
0	0
61	0
69	0
171	0
40	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	16
0	16
0	16
11	10
1	0
147	0
0	0
0	0
0	0
0	0
1	0
3	0
10	0
4	0
0	0
17	0
23	0
9	0
0	0
0	0
9	0
0	0
8	0
0	71
0	71
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
5	0
2	0
3	1
0	1
3	0
1	0
0	0
0	0
28	0
28	256
42	0
0	0
0	0
0	9
0	9
0	0
29	0
123	0
1	5
0	5
24	0
0	0
0	0
0	0
0	0
0	0
2	83
0	83
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
9	13
0	13
0	0
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	6
1	0
20	0
112	0
8	0
0	7
0	7
52	0
0	5
0	3
0	2
0	5
0	3
0	2
3	0
13	0
0	0
0	0
0	0
169	0
9	0
0	0
0	4
0	4
0	4
0	14
0	14
0	14
0	14
0	14
0	14
0	0
1	0
0	309
0	302
0	309
6	0
43	0
6	0
168	0
44	0
32	0
513	0
0	4
0	4
0	5
0	5
0	5
0	4
0	4
0	4
69	0
5	0
0	0
0	0
0	4
0	4
0	4
0	4
0	4
0	4
9	4
2	0
6	0
9	0
0	2
0	2
0	2
0	14
0	14
0	14
0	14
0	14
0	14
0	14
0	14
0	0
0	0
0	1
0	1
4	0
0	0
7	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
169	41
1	41
66	0
0	29
0	4
23	4
0	29
850	0
35	0
0	1
2	1
3	0
1	0
132	0
0	0
0	150
0	150
0	150
0	149
0	150
0	151
0	150
0	0
0	0
0	0
0	0
0	0
64	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	5
94	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
0	18
0	18
0	3
44	0
4	0
64	0
13	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
76	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
28	0
209	0
4	0
46	0
0	12
0	12
0	12
1	12
0	0
0	2
0	2
9	0
70	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
9	0
627	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	7
0	7
0	0
0	640
0	640
0	118
1	118
0	5
0	5
7	0
7	2
0	2
0	2
1	1
0	2
0	2
0	1
113	2
248	2
74	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
30	0
0	0
1	166
0	166
1	0
3	0
2	0
35	0
0	0
0	0
13	0
29	0
37	0
0	0
0	0
6	83
2	82
0	83
2	3
0	39
0	39
0	39
0	1
0	1
0	0
3	0
0	0
18	0
0	0
0	10
0	10
27	0
8	0
95	0
1	0
0	0
4	0
0	0
0	0
0	0
3	0
0	0
4	0
0	18
0	18
5	0
0	0
5	0
132	0
0	3
0	3
0	3
0	3
0	2
0	2
0	1
1	1
0	2
0	2
0	2
5	0
87	0
0	8
0	8
40	0
38	0
1	0
1	0
219	0
1	0
0	133
0	133
0	0
0	0
103	0
10	0
5	0
14	0
4	0
0	0
0	0
18	0
99	0
4	0
0	10
0	10
36	0
62	0
0	1
0	0
41	1
0	1
0	1
3	1
0	1
0	1
216	0
0	0
66	0
9	0
79	56
0	56
85	0
3	0
102	0
0	0
17	0
267	0
52	0
21	4
0	4
0	4
0	10
0	10
272	0
75	0
0	11
0	11
0	11
0	11
0	19
0	19
0	19
19	0
0	0
0	0
0	0
0	0
0	0
0	12
0	16
0	16
1	12
0	12
0	60
2	60
0	1
1	0
116	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
26	0
115	0
153	0
29	0
1	0
233	0
5	0
0	0
3	0
0	0
0	0
7	0
0	22
0	22
0	22
0	0
0	105
0	105
12	0
5	0
0	0
0	0
0	9
0	9
3	0
276	0
0	1
2	1
0	1
5	5
287	0
11	5
0	3
0	3
0	3
0	1
0	142
0	142
0	13
0	13
0	13
3	0
9	0
203	0
36	0
682	0
0	0
0	6
0	67
0	67
0	0
0	0
0	0
27	0
0	41
0	41
0	41
0	41
2	0
0	115
0	115
0	115
10	0
18	79
0	79
1	79
0	29
0	29
0	29
0	27
0	14
0	14
1	0
10	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	21
0	21
0	21
6	0
0	0
0	0
107	0
75	0
0	35
0	36
0	36
0	35
0	35
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	17
1	17
0	0
3	0
17	0
51	0
0	0
7	2
0	2
0	35
1	35
2	0
0	0
1	26
0	39
0	39
0	39
0	0
1587	0
217	0
18	0
0	0
1	0
4	0
33	0
0	0
0	0
0	0
0	0
8	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
1	0
23	0
67	0
0	0
8	0
23	0
0	3
0	3
63	0
34	0
0	0
1	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
4	0
0	0
0	0
0	0
7	0
10	0
38	0
123	0
0	1
0	1
0	0
0	0
5	0
0	0
4	0
1	0
0	0
0	6
0	6
28	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	5
0	5
0	5
0	0
0	0
0	0
2	0
38	2
0	2
0	0
0	0
0	5
